short_name,greeting,position,date,b1_dummy,b2_dummy,b3_dummy,b4_dummy
bernanke,Mr,chairman,20120425,,,,
dudley,Mr,vice chairman,20120425,,,,
duke,Ms,governor,20120425,,,,
lacker,Mr,president,20120425,,,,
lockhart,Mr,president,20120425,,,,
pianalto,Ms,president,20120425,,,,
raskin,Ms,governor,20120425,,,,
tarullo,Mr,governor,20120425,,,,
williams,Mr,president,20120425,,,,
yellen,Ms,president,20120425,,,,
bullard,Mr,president,20120425,,,,
cumming,Ms,first vice president,20120425,,,,
evans,Mr,president,20120425,,,,
george,Ms,president,20120425,,,,
rosengren,Mr,president,20120425,,,,
fisher,Mr,president,20120425,,,,
kocherlakota,Mr,president,20120425,,,,
plosser,Mr,president,20120425,,,,
english,Mr,secretary and economist,20120425,,,,
danker,Ms,deputy secretary,20120425,,,,
luecke,Mr,assistant secretary,20120425,,,,
skidmore,Mr,assistant secretary,20120425,,,,
smith,Ms,assistant secretary,20120425,,,,
alvarez,Mr,general counsel,20120425,,,,
baxter,Mr,deputy general counsel,20120425,,,,
kamin,Mr,economist,20120425,,,,
wilcox,Mr,economist,20120425,,,,
altig,Mr,associate economist,20120425,,,,
connors,Mr,associate economist,20120425,,,,
leahy,Mr,associate economist,20120425,,,,
nelson,Mr,associate economist,20120425,,,,
potter,Mr,associate economist,20120425,,,,
reifschneider,Mr,associate economist,20120425,,,,
wascher,Mr,associate economist,20120425,,,,
sack,Mr,system open market account manager,20120425,,,,
gibson,Mr,director,20120425,,,,
liang,Ms,director,20120425,,,,
faust,Mr,special advisor to the board,20120425,,,,
levin,Mr,special advisor to the board,20120425,,,,
clouse,Mr,deputy director,20120425,,,,
eichner,Mr,deputy director,20120425,,,,
robertson,Ms,assistant to the board,20120425,,,,
laubach,Mr,senior adviser,20120425,,,,
meade,Ms,senior adviser,20120425,,,,
covitz,Mr,associate director,20120425,,,,
lebow,Mr,associate director,20120425,,,,
bowman,Mr,deputy associate director,20120425,,,,
weinbach,Ms,deputy associate director,20120425,,,,
ihrig,Ms,assistant director,20120425,,,,
small,Mr,project manager,20120425,,,,
stefani,Mr,first vice president,20120425,,,,
fuhrer,Mr,executive vice president,20120425,,,,
mester,Ms,executive vice president,20120425,,,,
rosenblum,Ms,executive vice president,20120425,,,,
sullivan,Mr,executive vice president,20120425,,,,
davig,Mr,senior vice president,20120425,,,,
feldman,Mr,senior vice president,20120425,,,,
schweitzer,Mr,senior vice president,20120425,,,,
waller,Mr,senior vice president,20120425,,,,
fernald,Mr,group vice president,20120425,,,,
hornstein,Mr,vice president,20120425,,,,
logan,Ms,vice president,20120425,,,,
greenspan,Mr,chairman,19940706,,,,
mcdonough,Mr,vice chairman,19940706,,,,
blinder,Mr,governor,19940706,,,,
broaddus,Mr,president,19940706,,,,
forrestal,Mr,president,19940706,,,,
jordan,Mr,president,19940706,,,,
kelley,Mr,governor,19940706,,,,
laware,Mr,governor,19940706,,,,
lindsey,Mr,governor,19940706,,,,
parry,Mr,president,19940706,,,,
phillips,Ms,governor,19940706,,,,
hoenig,Mr,president,19940706,,,,
keehn,Mr,president,19940706,,,,
melzer,Mr,president,19940706,,,,
boehne,Mr,president,19940706,,,,
mcteer,Mr,president,19940706,,,,
stern,Mr,president,19940706,,,,
conrad,Mr,first vice president,19940706,,,,
minehan,Ms,first vice president,19940706,,,,
kohn,Mr,secretary and economist,19940706,,,,
bernard,Mr,deputy secretary,19940706,,,,
coyne,Mr,assistant secretary,19940706,,,,
gillum,Mr,assistant secretary,19940706,,,,
mattingly,Mr,general counsel,19940706,,,,
patrikis,Mr,deputy general counsel,19940706,,,,
prell,Mr,economist,19940706,,,,
truman,Mr,economist,19940706,,,,
beebe,Mr,associate economist,19940706,,,,
goodfriend,Mr,associate economist,19940706,,,,
lindsey,Mr,associate economist,19940706,,,,
promisel,Mr,associate economist,19940706,,,,
siegman,Mr,associate economist,19940706,,,,
simpson,Mr,associate economist,19940706,,,,
tschinkel,Ms,associate economist,19940706,,,,
lovett,Ms,manager for domestic operations,19940706,,,,
fisher,Mr,manager for domestic operations,19940706,,,,
winn,Mr,assistant to the board,19940706,,,,
ettin,Mr,deputy director,19940706,,,,
madigan,Mr,associate director,19940706,,,,
struckmeyer,Mr,assistant director,19940706,,,,
zickler,Ms,assistant director,19940706,,,,
edwards,Ms,economist,19940706,,,,
oliner,Mr,economist,19940706,,,,
low,Ms,open market secretariat assistant,19940706,,,,
bennett,Mr,senior vice president,19940706,,,,
browne,Ms,senior vice president,19940706,,,,
davis,Mr,senior vice president,19940706,,,,
dewald,Mr,senior vice president,19940706,,,,
lang,Mr,senior vice president,19940706,,,,
rolnick,Mr,senior vice president,19940706,,,,
rosenblum,Mr,senior vice president,19940706,,,,
scheld,Mr,senior vice president,19940706,,,,
guetner,Mr,vice president,19940706,,,,
sniderman,Mr,vice president,19940706,,,,
greenspan,Mr,chairman,20011211,,,,
mcdonough,Mr,vice chairman,20011211,,,,
bies,Ms,governor,20011211,,,,
ferguson,Mr,governor,20011211,,,,
gramlich,Mr,governor,20011211,,,,
hoenig,Mr,president,20011211,,,,
meyer,Mr,governor,20011211,,,,
minehan,Ms,president,20011211,,,,
moskow,Mr,president,20011211,,,,
olson,Mr,governor,20011211,,,,
poole,Mr,president,20011211,,,,
jordan,Mr,president,20011211,,,,
mcteer,Mr,president,20011211,,,,
santomero,Mr,president,20011211,,,,
stern,Mr,president,20011211,,,,
broaddus,Mr,president,20011211,,,,
guynn,Mr,president,20011211,,,,
parry,Mr,president,20011211,,,,
kohn,Ms,secretary and economist,20011211,,,,
bernard,Mr,deputy secretary,20011211,,,,
gillum,Mr,assistant secretary,20011211,,,,
smith,Ms,assistant secretary,20011211,,,,
mattingly,Mr,general counsel,20011211,,,,
baxter,Mr,deputy general counsel,20011211,,,,
johnson,Ms,economist,20011211,,,,
reinhart,Mr,economist,20011211,,,,
stockton,Mr,economist,20011211,,,,
cumming,Ms,associate economist,20011211,,,,
fuhrer,Mr,associate economist,20011211,,,,
hakkio,Mr,associate economist,20011211,,,,
howard,Mr,associate economist,20011211,,,,
lindsey,Mr,associate economist,20011211,,,,
rasche,Mr,associate economist,20011211,,,,
slifman,Mr,associate economist,20011211,,,,
wilcox,Mr,associate economist,20011211,,,,
kos,Mr,system open market account manager,20011211,,,,
winn,Mr,assistant to the board,20011211,,,,
ettin,Mr,deputy director,20011211,,,,
madigan,Mr,deputy director,20011211,,,,
simpson,Mr,senior adviser,20011211,,,,
connors,Mr,associate director,20011211,,,,
oliner,Mr,associate director,20011211,,,,
struckmeyer,Mr,associate director,20011211,,,,
whitesell,Mr,assistant director,20011211,,,,
skidmore,Mr,special assistant to the board,20011211,,,,
low,Ms,open market secretariat assistant,20011211,,,,
rasdall,Mr,first vice president,20011211,,,,
eisenbeis,Mr,senior vice president,20011211,,,,
goodfriend,Mr,senior vice president,20011211,,,,
krieger,Ms,senior vice president,20011211,,,,
mester,Ms,senior vice president,20011211,,,,
rosenblum,Mr,senior vice president,20011211,,,,
bryan,Mr,vice president,20011211,,,,
judd,Mr,vice president,20011211,,,,
krane,Mr,vice president,20011211,,,,
